"","서적명","sum_sales","순위"
"655",1084,0,162
"656",1085,0,162
"657",1086,6579000,121
"658",1087,0,162
"659",1088,0,162
"660",1089,0,162
"661",1090,0,162
"662",1091,0,162
"663",1092,0,162
"664",1097,5325250,125
"665",1098,0,162
"666",1099,0,162
"667",1101,0,162
"668",1102,0,162
"669",1103,0,162
"670",1104,1540225500,26
"671",1105,1281665275,27
"672",1106,0,162
"673",1107,0,162
"674",1108,0,162
"675",1109,0,162
"676",1110,0,162
"677",1111,0,162
"678",1113,0,162
"679",1114,35950750,93
"680",1121,0,162
"681",1122,0,162
"682",1123,0,162
"683",1124,0,162
"684",1125,0,162
"685",1126,0,162
"686",1127,0,162
"687",1128,0,162
"688",1129,0,162
"689",1130,0,162
"690",1131,0,162
"691",1132,0,162
"692",1133,0,162
"693",1134,0,162
"694",1135,0,162
"695",1136,0,162
"696",1137,0,162
"697",1138,0,162
"698",1139,0,162
"699",1140,0,162
"700",1141,0,162
"701",1142,0,162
"702",1143,0,162
"703",1144,0,162
"704",1145,0,162
"705",1146,0,162
"706",1147,0,162
"707",1148,0,162
"708",1149,0,162
"709",1150,0,162
"710",1151,0,162
"711",1152,0,162
"712",1153,0,162
"713",1154,0,162
"714",1155,0,162
"715",1156,0,162
"716",1157,0,162
"717",1158,0,162
"718",1159,0,162
"719",1160,0,162
"720",1161,0,162
"721",1162,0,162
"722",1163,0,162
"723",1164,0,162
"724",1165,0,162
"725",1166,0,162
"726",1167,0,162
"727",1168,0,162
"728",1169,0,162
"729",1170,0,162
"730",1171,0,162
"731",1172,0,162
"732",1173,0,162
"733",1174,0,162
"734",1175,0,162
"735",1176,0,162
"736",1177,0,162
"737",1178,0,162
"738",1179,0,162
"739",1180,0,162
"740",1181,0,162
"741",1182,0,162
"742",1183,0,162
"743",1184,0,162
"744",1185,0,162
"745",1186,0,162
"746",1187,0,162
"747",1188,0,162
"748",1189,0,162
"749",1190,0,162
"750",1191,0,162
"751",1192,0,162
"752",1193,0,162
"753",1194,0,162
"754",1195,0,162
"755",1196,0,162
"756",1197,0,162
"757",1198,0,162
"758",1199,0,162
"759",1200,0,162
"760",1201,0,162
"761",1202,0,162
"762",1203,0,162
"763",1208,0,162
"764",1209,0,162
"765",1210,0,162
"766",1212,0,162
"767",1213,5363500,124
"768",1214,0,162
"769",1215,0,162
"770",1221,0,162
"771",1222,0,162
"772",1223,0,162
"773",1224,10883400,113
"774",1225,0,162
"775",1226,0,162
"776",1227,0,162
"777",1229,0,162
"778",1231,0,162
"779",1234,0,162
"780",1235,0,162
"781",1239,0,162
"782",1240,0,162
"783",1241,0,162
"784",1242,0,162
"785",1252,0,162
"786",1253,0,162
"787",1254,0,162
"788",1262,0,162
"789",1263,0,162
"790",1268,0,162
"791",1275,0,162
"792",1279,0,162
"793",1280,0,162
"794",1281,0,162
"795",1282,0,162
"796",1283,0,162
"797",1284,0,162
"798",1285,0,162
"799",1286,0,162
"800",1287,0,162
"801",1288,0,162
"802",1289,0,162
"803",1290,0,162
"804",1291,0,162
"805",1295,0,162
"806",1297,0,162
"807",1298,0,162
"808",1301,0,162
"809",1312,0,162
"810",1313,0,162
"811",1314,0,162
"812",1316,11003675,112
"813",1319,0,162
"814",1321,0,162
"815",1322,0,162
"816",1326,0,162
"817",1327,0,162
"818",1328,0,162
"819",1329,0,162
"820",1330,0,162
"821",1331,0,162
"822",1332,0,162
"823",1333,0,162
"824",1334,0,162
"825",1335,11827750,111
"826",1337,0,162
"827",1340,35105000,94
"828",1341,0,162
"829",1342,0,162
"830",1343,0,162
"831",1344,0,162
"832",1352,0,162
"833",1353,0,162
"834",1355,0,162
"835",1356,0,162
"836",1357,0,162
"837",1360,0,162
"838",1362,0,162
"839",1363,621775,145
"840",1364,254910750,47
"841",1365,0,162
"842",1366,0,162
"843",1367,0,162
"844",1368,0,162
"845",1370,0,162
"846",1371,0,162
"847",1375,0,162
"848",1376,0,162
"849",1378,0,162
"850",1380,0,162
"851",1381,0,162
"852",1382,0,162
"853",1383,0,162
"854",1384,0,162
"855",1385,0,162
"856",1386,0,162
"857",1395,0,162
"858",1396,0,162
"859",1398,0,162
"860",1405,0,162
"861",1406,0,162
"862",1407,344250,148
"863",1409,0,162
"864",1410,0,162
"865",1411,0,162
"866",1412,0,162
"867",1413,59086900,81
"868",1415,0,162
"869",1417,0,162
"870",1418,0,162
"871",1419,0,162
"872",1421,0,162
"873",1423,0,162
"874",1424,0,162
"875",1425,0,162
"876",1426,0,162
"877",1427,0,162
"878",1428,0,162
"879",1429,0,162
"880",1431,0,162
"881",1432,0,162
"882",1434,0,162
"883",1436,159767190,59
"884",1437,0,162
"885",1438,0,162
"886",1439,0,162
"887",1440,0,162
"888",1441,0,162
"889",1442,0,162
"890",1443,0,162
"891",1444,0,162
"892",1445,0,162
"893",1446,0,162
"894",1447,0,162
"895",1448,0,162
"896",1449,0,162
"897",1450,0,162
"898",1451,165847750,58
"899",1453,2667844,135
"900",1454,3312909000,19
"901",1456,0,162
"902",1457,255657050,46
"903",1459,0,162
"904",1462,0,162
"905",1465,0,162
"906",1466,0,162
"907",1469,0,162
"908",1470,0,162
"909",1471,0,162
"910",1473,0,162
"911",1475,0,162
"912",1476,0,162
"913",1477,255000,152
"914",1478,0,162
"915",1479,0,162
"916",1480,0,162
"917",1481,0,162
"918",1482,0,162
"919",1491,0,162
"920",1492,0,162
"921",1493,0,162
"922",1494,0,162
"923",1495,0,162
"924",1496,0,162
"925",1497,0,162
"926",1500,0,162
"927",1501,0,162
"928",1503,0,162
"929",1504,8185925,120
"930",1505,0,162
"931",1506,0,162
"932",1508,0,162
"933",1512,0,162
"934",1513,0,162
"935",1514,0,162
"936",1515,0,162
"937",1516,0,162
"938",1519,0,162
"939",1522,0,162
"940",1523,0,162
"941",1524,0,162
"942",1525,0,162
"943",1529,0,162
"944",1530,0,162
"945",1531,0,162
"946",1532,0,162
"947",1533,0,162
"948",1534,0,162
"949",1535,0,162
"950",1538,0,162
"951",1541,0,162
"952",1543,0,162
"953",1548,0,162
"954",1549,0,162
"955",1550,0,162
"956",1551,0,162
"957",1552,0,162
"958",1555,12926375,110
"959",1556,159719250,60
"960",1557,0,162
"961",1558,0,162
"962",1559,0,162
"963",1560,0,162
"964",1566,0,162
"965",1567,0,162
"966",1568,0,162
"967",1569,0,162
"968",1570,0,162
"969",1571,0,162
"970",1576,0,162
"971",1577,0,162
"972",1583,0,162
"973",1586,0,162
"974",1587,0,162
"975",1589,0,162
"976",1590,0,162
"977",1591,0,162
"978",1592,0,162
"979",1595,0,162
"980",1597,0,162
"981",1599,0,162
"982",1603,138202350,64
"983",1604,61817525,79
"984",1605,5950000,122
"985",1606,23061775,101
"986",1607,36474350,91
"987",1609,22505450,102
"988",1610,48713500,85
"989",1611,0,162
"990",1613,0,162
"991",1615,77730162.5,73
"992",1616,0,162
"993",1618,0,162
"994",1619,887267400,29
"995",1622,0,162
"996",1623,4629656750,14
"997",1625,114888125,68
"998",1626,12204821475,9
"999",1627,640386600,33
"1000",1628,0,162
"1001",1629,0,162
"1002",1630,0,162
"1003",1631,0,162
"1004",1632,48978275,84
"1005",1633,837296750,30
"1006",1634,3271817450,20
"1007",1635,0,162
"1008",1637,729271950,32
"1009",1638,0,162
"1010",1639,0,162
"1011",1640,0,162
"1012",1641,35974125,92
"1013",1643,0,162
"1014",1644,0,162
"1015",1648,0,162
"1016",1649,0,162
"1017",1650,0,162
"1018",1651,0,162
"1019",1652,0,162
"1020",1653,0,162
"1021",1654,0,162
"1022",1655,0,162
"1023",1656,0,162
"1024",1657,0,162
"1025",1663,0,162
"1026",1666,0,162
"1027",1667,0,162
"1028",1668,168121500,57
"1029",1671,0,162
"1030",1672,0,162
"1031",1673,0,162
"1032",1676,0,162
"1033",1677,14558538200,7
"1034",1678,0,162
"1035",1679,0,162
"1036",1681,0,162
"1037",1682,0,162
"1038",1683,0,162
"1039",1684,0,162
"1040",1685,0,162
"1041",1686,0,162
"1042",1688,0,162
"1043",1692,0,162
"1044",1693,0,162
"1045",1694,0,162
"1046",1695,0,162
"1047",1696,0,162
"1048",1698,0,162
"1049",1699,0,162
"1050",1700,0,162
"1051",1703,0,162
"1052",1704,0,162
"1053",1706,0,162
"1054",1707,0,162
"1055",1708,0,162
"1056",1709,0,162
"1057",1715,0,162
"1058",1716,0,162
"1059",1719,0,162
"1060",1720,0,162
"1061",1724,0,162
"1062",1725,0,162
"1063",1726,0,162
"1064",1727,0,162
"1065",1728,0,162
"1066",1729,0,162
"1067",1731,0,162
"1068",1732,0,162
"1069",1733,314272200,45
"1070",1734,0,162
"1071",1735,0,162
"1072",1736,18957125,105
"1073",1737,0,162
"1074",1738,145911425,62
"1075",1741,81569400,72
"1076",1742,0,162
"1077",1745,0,162
"1078",1746,0,162
"1079",1747,0,162
"1080",1748,0,162
"1081",1749,0,162
"1082",1750,0,162
