##Data from database: WDI												
##Last Updated: 05/06/2014												
SeriesName	SeriesCode	Country	CountryCode	2004	2005	2006	2007	2008	2009	2010	2011	2012
GDP per capita (current US$)	NY.GDP.PCAP.CD	Cote d'Ivoire	CIV	902.9864166	940.7521438	983.2914236	1102.882499	1282.267081	1238.708134	1207.84514	1241.561111	1243.986075
GDP per capita (current US$)	NY.GDP.PCAP.CD	Croatia	HRV	9237.116223	10090.36669	11228.62138	13376.00923	15695.82145	14053.78247	13326.50628	14434.70172	13878.58455
GDP per capita (current US$)	NY.GDP.PCAP.CD	Cuba	CUB	3388.766954	3776.470549	4666.988169	5185.382272	5382.815961	5499.120103	5701.962671	6051.222001	
GDP per capita (current US$)	NY.GDP.PCAP.CD	Curacao	CUW									
GDP per capita (current US$)	NY.GDP.PCAP.CD	Cyprus	CYP	21380.90308	22430.60642	23863.55546	27860.27611	31928.3968	29427.90879	27889.03718	29206.5106	26070.36743
GDP per capita (current US$)	NY.GDP.PCAP.CD	Czech Republic	CZE	11177.3604	12736.23246	14488.37434	17527.3572	21709.91025	18883.51343	18948.59879	20580.17767	18689.96717
GDP per capita (current US$)	NY.GDP.PCAP.CD	Denmark	DNK	45282.068	47546.59459	50462.23358	57021.17318	62596.48854	56226.58015	56451.73571	59897.52954	56363.94482
GDP per capita (current US$)	NY.GDP.PCAP.CD	Djibouti	DJI	869.8001789	912.4992045	976.2929868	1061.637092					
GDP per capita (current US$)	NY.GDP.PCAP.CD	Dominica	DMA	5218.298606	5126.249862	5408.1078	5915.10601	6520.134536	6778.660352	6630.195154	6780.537527	6691.714872
GDP per capita (current US$)	NY.GDP.PCAP.CD	Dominican Republic	DOM	2407.18928	3635.706812	3794.07334	4297.518094	4696.951024	4731.601223	5166.150359	5492.654983	5745.779878
GDP per capita (current US$)	NY.GDP.PCAP.CD	Ecuador	ECU	2704.665155	3012.752437	3337.400363	3574.877893	4255.851995	4236.777555	4500.591558	5035.242493	5424.633611
GDP per capita (current US$)	NY.GDP.PCAP.CD	Egypt, Arab Rep.	EGY	1116.925161	1249.49326	1472.570548	1757.760484	2156.762969	2461.530857	2803.532963	2972.583516	3256.018469
GDP per capita (current US$)	NY.GDP.PCAP.CD	El Salvador	SLV	2611.161072	2814.93504	3042.748428	3283.530558	3483.70942	3341.320201	3444.456148	3698.546188	3789.567558
GDP per capita (current US$)	NY.GDP.PCAP.CD	Equatorial Guinea	GNQ	8943.676286	13612.84793	15451.19974	19660.08038	23511.09709	15300.6997	17612.75793	23473.43564	24035.70609
GDP per capita (current US$)	NY.GDP.PCAP.CD	Eritrea	ERI	237.7127366	226.2898568	240.5468163	252.9776299	256.4375698	334.0648852	368.7477582	439.5423714	504.3021912
GDP per capita (current US$)	NY.GDP.PCAP.CD	Estonia	EST	8871.710247	10288.72867	12486.89215	16381.05646	17722.50455	14505.72078	14245.55631	16885.72557	16832.8005
GDP per capita (current US$)	NY.GDP.PCAP.CD	Ethiopia	ETH	134.2795789	159.8314365	191.6040212	235.8956606	309.6863662	332.0454408	301.8388264	334.7154777	454.7952305
GDP per capita (current US$)	NY.GDP.PCAP.CD	Faeroe Islands	FRO	34520.88742	35211.55269	39869.98014	45974.69186	48645.38402	44317.30589			
GDP per capita (current US$)	NY.GDP.PCAP.CD	Fiji	FJI	3330.309969	3655.663836	3747.433691	4075.991405	4301.63219	3431.75588	3747.674635	4324.685529	4467.103791
GDP per capita (current US$)	NY.GDP.PCAP.CD	Finland	FIN	36162.65601	37318.79732	39487.05406	46538.17128	51186.48516	44837.71087	44134.04836	48677.76563	45694.1147
GDP per capita (current US$)	NY.GDP.PCAP.CD	France	FRA	32784.83363	33818.97269	35457.05032	40341.91513	43991.69953	40487.91731	39443.18961	42559.9237	39746.29293
GDP per capita (current US$)	NY.GDP.PCAP.CD	French Polynesia	PYF									
GDP per capita (current US$)	NY.GDP.PCAP.CD	Gabon	GAB	5328.485186	6281.954684	6756.271159	7994.304825	10577.91676	7919.710893	9321.955869	11768.60629	11256.52276
GDP per capita (current US$)	NY.GDP.PCAP.CD	Gambia, The	GMB	415.8139687	434.4954445	441.9196561	522.3399183	612.0285776	553.0993514	566.3353254	517.752432	506.5979066
GDP per capita (current US$)	NY.GDP.PCAP.CD	Georgia	GEO	1186.873047	1469.974624	1764.870436	2317.988501	2919.690052	2440.961318	2613.689508	3219.569963	3506.64458
GDP per capita (current US$)	NY.GDP.PCAP.CD	Germany	DEU	33040.05141	33542.78138	35237.60326	40402.99008	44132.04182	40270.16229	40407.96125	44354.68494	42597.36708
GDP per capita (current US$)	NY.GDP.PCAP.CD	Ghana	GHA	426.2635109	501.8642947	929.9455454	1099.084759	1234.437253	1096.533657	1326.066112	1594.030809	1604.905782
GDP per capita (current US$)	NY.GDP.PCAP.CD	Greece	GRC	20607.17607	21620.7175	23475.22071	27288.32662	30398.78249	28451.91733	26020.1481	26061.44027	22441.52132
GDP per capita (current US$)	NY.GDP.PCAP.CD	Greenland	GRL	28903.93583	29903.28404	30620.21553	37516.75092	30883.03497	22507.88872			
GDP per capita (current US$)	NY.GDP.PCAP.CD	Grenada	GRD	5844.959725	6803.545292	6825.126244	7373.819386	8008.502687	7435.639533	7485.905205	7766.473216	7266.675457
GDP per capita (current US$)	NY.GDP.PCAP.CD	Guam	GUM									
GDP per capita (current US$)	NY.GDP.PCAP.CD	Guatemala	GTM	1937.715706	2146.179053	2326.299385	2561.4419	2867.482868	2697.392484	2882.400219	3242.690796	3330.52523
GDP per capita (current US$)	NY.GDP.PCAP.CD	Guinea	GIN	390.8845623	306.7011791	287.9229857	411.4847069	437.8056827	435.1756629	435.448888	454.0022776	491.7899781
GDP per capita (current US$)	NY.GDP.PCAP.CD	Guinea-Bissau	GNB	375.7946289	402.9880469	398.2471791	465.3402625	555.6594653	536.8028066	526.5210239	595.8292485	494.3146151
GDP per capita (current US$)	NY.GDP.PCAP.CD	Guyana	GUY	1038.285476	1084.179401	1905.555188	2258.981381	2478.408081	2593.37062	2873.951538	3258.048188	3583.96217
GDP per capita (current US$)	NY.GDP.PCAP.CD	Haiti	HTI	400.9321739	448.5848301	519.7491433	627.6501835	664.8202693	662.5860588	670.4032924	732.2093375	770.9512406
GDP per capita (current US$)	NY.GDP.PCAP.CD	Honduras	HND	1297.192455	1401.991728	1540.580359	1710.05132	1883.233294	1939.282455	2063.931749	2261.649191	2322.88056
GDP per capita (current US$)	NY.GDP.PCAP.CD	Hong Kong SAR, China	HKG	24928.10037	26649.7508	28224.21506	30594.01784	31515.66277	30697.34038	32558.26248	35172.51773	36795.81988
GDP per capita (current US$)	NY.GDP.PCAP.CD	Hungary	HUN	10084.52184	10936.94861	11173.56951	13534.7055	15364.67955	12634.55114	12750.29865	13783.84074	12560.07461
GDP per capita (current US$)	NY.GDP.PCAP.CD	Iceland	ISL	45370.12645	54885.2613	54813.95469	65566.30917	53028.78788	38039.29963	39507.14423	44030.57988	42339.46285
GDP per capita (current US$)	NY.GDP.PCAP.CD	India	IND	649.7106479	740.1142606	830.1632213	1068.678519	1042.082699	1147.238685	1417.066965	1539.603788	1502.999958
GDP per capita (current US$)	NY.GDP.PCAP.CD	Indonesia	IDN	1160.614924	1273.465176	1601.031191	1871.288406	2178.265663	2272.040995	2946.656059	3471.434594	3556.785714
GDP per capita (current US$)	NY.GDP.PCAP.CD	Iran, Islamic Rep.	IRN	2353.930989	2737.112118	3140.19809	3983.582294	4899.31216	4931.282897	5674.923927	7006.047183	7228.018308
GDP per capita (current US$)	NY.GDP.PCAP.CD	Iraq	IRQ	1373.192582	1824.699866	2321.152171	3091.015329	4472.055182	3701.861626	4612.523476	6019.42088	6625.223216
GDP per capita (current US$)	NY.GDP.PCAP.CD	Ireland	IRL	45766.41689	48697.57924	52118.80474	59008.31468	58810.89305	49707.67922	45916.68284	49387.27333	45921.31638
GDP per capita (current US$)	NY.GDP.PCAP.CD	Isle of Man	IMY	34624.48674	36289.87962	42402.06631	49817.44469					
GDP per capita (current US$)	NY.GDP.PCAP.CD	Israel	ISR	18588.80505	19330.02435	21405.15946	24368.45395	29160.24033	27491.5133	30389.10758	33250.5065	32567.08894
GDP per capita (current US$)	NY.GDP.PCAP.CD	Italy	ITA	29832.6129	30478.84559	31776.97775	35826.02346	38563.05305	35073.15802	33982.14655	36180.04465	33815.66802
GDP per capita (current US$)	NY.GDP.PCAP.CD	Jamaica	JAM	3862.063372	4189.655883	4486.555676	4815.078502	5118.703392	4491.472743	4906.674832	5334.574171	5449.081869
GDP per capita (current US$)	NY.GDP.PCAP.CD	Japan	JPN	36441.50449	35781.23498	34102.20617	34094.88711	37972.23721	39473.36291	43117.76827	46134.56824	46730.91845
GDP per capita (current US$)	NY.GDP.PCAP.CD	Jordan	JOR	2156.439822	2325.42541	2719.822469	3022.541954	3797.413629	4027.052081	4370.721033	4665.94354	4909.028094
GDP per capita (current US$)	NY.GDP.PCAP.CD	Kazakhstan	KAZ	2874.288291	3771.278957	5291.574368	6771.416639	8513.567004	7165.278669	9070.957765	11358.00746	12120.50855
GDP per capita (current US$)	NY.GDP.PCAP.CD	Kenya	KEN	462.0497683	523.6137892	612.2325312	721.4590107	785.7342003	767.8737535	787.0639352	799.9612452	942.5408848
GDP per capita (current US$)	NY.GDP.PCAP.CD	Kiribati	KIR	1149.376123	1173.31415	1138.284501	1316.956881	1424.038886	1320.48003	1539.047436	1735.554046	1736.198171
GDP per capita (current US$)	NY.GDP.PCAP.CD	Korea, Dem. Rep.	PRK									
GDP per capita (current US$)	NY.GDP.PCAP.CD	Korea, Rep.	KOR	15028.81032	17550.82581	19676.14615	21590.26019	19028.13033	16958.63929	20540.02478	22388.19808	22589.95903
GDP per capita (current US$)	NY.GDP.PCAP.CD	Kosovo	KSV	2135.332847	2194.372651	2278.62418	2736.487102	3302.923939	3198.925592	3238.646286	3705.674351	3566.587671
GDP per capita (current US$)	NY.GDP.PCAP.CD	Kuwait	KWT	27061.88577	35185.93067	42011.77433	44902.31827	54548.61531	37160.54324	40090.74627	51396.85386	56373.73085
GDP per capita (current US$)	NY.GDP.PCAP.CD	Kyrgyz Republic	KGZ	433.2351189	476.4800976	543.1107024	721.7686908	966.3936272	871.2182975	880.0385141	1124.077623	1154.737445
GDP per capita (current US$)	NY.GDP.PCAP.CD	Lao PDR	LAO	415.2222521	472.4084631	585.6405752	702.2701311	886.7596524	930.5859445	1122.852316	1265.709344	1417.079558
