##				Prevalence of smoking		Incidence of tuberculosis	Prevalence of diabetes	Prevalence of HIV					Antiretroviral therapy coverage	Cause of death		
Country	CountryCode	Region	OECD	MaleSmokingPrevPercAdult	FemaleSmokingPrevPercAdult	TuberculosisPer100K	DiabetesPrevPercPop	TotalHIVPrevPercPop1549		WomenHIVPrevPerc15Over	MaleYouthHIVPercPop	FemaleYouthHIVPercPop	AVTherapyCovPerc	CoDCommunicableDiseases	CoDNonCommunicableDiseases	CoDInjuries
##				% of adults	% of adults	"per 100,000 people"	% of population ages 20 to 79	% of population ages 15-49		% Women's share of population ages 15+ living with HIV	% of population ages 15-24	% of population ages 15-24	% of people with advanced HIV infection	% of population	% of population	% of population
Hungary	HUN	Europe:East	Y	35	27	18	6			10				2	93	5
Iceland	ISL	Europe:North	Y	19	18	4	3.2			29				4	90	6
India	IND	Asia:South		25	4	176	9.1	0.1	0.3	39	0.1	0.1	50	28	60	12
Indonesia	IDN	Asia:SE		67	3	185	5.8	0.1	0.4	40	0.4	0.5	17	22	71	7
"Iran, Islamic Rep."	IRN	MiddleEast		26	1	21	9.9	0.1	0.2	27	0.1	0.1	13	10	76	14
Iraq	IRQ	MiddleEast		31	4	45	9.5							19	62	19
Ireland	IRL	Europe:West	Y			9	5.5			30				6	88	6
Isle of Man	IMY	Europe:North														
Israel	ISR	MiddleEast	Y	35	17	8	5.7			30				9	86	5
Italy	ITA	Europe:South	Y	31	18	7	5.1			10				4	92	4
Jamaica	JAM	Caribbean				7	10.4	1.6	1.7	33	0.9	0.5	69	14	79	7
Japan	JPN	Asia:East	Y	34	11	19	5.1			15				13	80	7
Jordan	JOR	MiddleEast		47	6	6	11.4							13	76	11
Kazakhstan	KAZ	Asia:Center		40	9	137	5			41				6	84	11
Kenya	KEN	Africa:East		26	1	272	4.6	2.5	6.1	57	1.8	3.6	73	64	27	10
Kiribati	KIR	Micronesia		67	37	429	28.8									
"Korea, Dem. Rep."	PRK	Asia:East				409	6.7			30				11	79	10
"Korea, Rep."	KOR	Asia:East	Y			108	7.5			29				8	79	13
Kosovo	KSV	Europe:East														
Kuwait	KWT	MiddleEast		35	4	26	23.1							16	73	11
Kyrgyz Republic	KGZ	Asia:Center		45	2	141	6.3	0.1	0.3	18	0.2	0.1	23	11	80	9
Lao PDR	LAO	Asia:SE		48	4	204	5.5	0.1	0.3	46	0.2	0.2	51	43	48	9
Latvia	LVA	Europe:East		46	20	53	4.6			31				2	93	5
Lebanon	LBN	MiddleEast				16	15			30				6	85	9
Lesotho	LSO	Africa:South				630	4.9	0.8	23.1	59	5.8	10.7	54	64	27	9
Liberia	LBR	Africa:West		18	2	304	3.8	0.3	0.9	59	0.1	0.1	43	58	34	8
Libya	LBY	Africa:North		45	1	40	9.9							10	78	12
Liechtenstein	LIE	Europe:West					5.5									
Lithuania	LTU	Europe:East		43	25	66	3.9			12				3	89	8
Luxembourg	LUX	Europe:West	Y			7	4.6			31				6	87	7
"Macedonia, FYR"	MKD	Europe:East				18	10							2	95	3
Madagascar	MDG	Africa:East				234	3.8	0.2	0.5	46	0.3	0.3	1	51	39	10
Malawi	MWI	Africa:East		23	5	163	5.5	11.6	10.8	58	2.7	4.5	69	65	28	7
Malaysia	MYS	Asia:SE		43	1	80	10.9	0.1	0.4	15	0.1	0.1	42	16	73	11
Maldives	MDV	Asia:South		42	7	41	4.8	0.1	0.1	31	0.1	0.1	26	12	81	7
Mali	MLI	Africa:West		28	2	60	1.6	0.5	0.9	60	0.2	0.3	52	60	31	9
Malta	MLT	Europe:South		31	20	11	6.6			30				5	92	4
Marshall Islands	MHL	Micronesia		36	7	572	34.9									
Mauritania	MRT	Africa:West		29	4	350	5	0.1	0.4	58	0.1	0.2	35	60	32	8
Mauritius	MUS	Africa:East		39	5	21	14.8	0.1	1.2	27	0.3	0.3	36	8	85	6
Mexico	MEX	America:North	Y	27	8	23	12.6	0.4	0.2	22	0.1	0.1	82	11	77	12
"Micronesia, Fed. Sts."	FSM	Micronesia				194	35									
Moldova	MDA	Europe:East		43	5	160	2.4	0.1	0.7	35	0.2	0.2	29	4	89	7
Monaco	MCO	Europe:West				2	5.5									
Mongolia	MNG	Asia:East		48	6	223	7.8	0.1	0.1	50	0.1	0.1	5	11	79	10
Montenegro	MNE	Europe:East				18	10.1							2	92	5
Morocco	MAR	Africa:North		32	2	103	7.8	0.1	0.1	38	0.1	0.1	49	18	75	7
Mozambique	MOZ	Africa:East				552	2.8	0.6	11.1	59	2.8	6.6	45	66	23	11
Myanmar	MMR	Asia:SE		38	7	377	6.1	0.2	0.6	34	0.1	0.1	48	30	59	11
Namibia	NAM	Africa:South		30	9	655	6.3	1.1	13.3	58	2.2	4.1	90	47	43	10
