영화명,개봉일,첫주매출액,첫주관객수,대표국적,제작사,배급사,등급,장르,감독,배우,총관객수,총매출액,등급2
레드: 더 레전드,2013-07-18,9997156638,1402075,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,코미디,범죄",딘 패리소트,"브루스 윌리스,존 말코비치,메리 루이스 파커,이병헌,캐서린 제타-존스,안소니 홉킨스,헬렌 미렌",3001842,21491288970,3
극장판 도라에몽: 진구의 비밀도구 박물관,2013-07-25,579360000,90581,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처",테라모토 유키요,"미즈타 와사비,오오하라 메구미",122054,779788500,2
더 울버린,2013-07-25,6967482500,958016,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,SF",제임스 맨골드,"휴 잭맨,사나다 히로유키,윌 윤 리",1075290,7848983000,3
마지막 4중주,2013-07-25,130860500,17214,미국,,(주)티캐스트,15세이상관람가,드라마,야론 질버만,"필립 세이무어 호프먼,크리스토퍼 월큰,캐서린 키너,마크 이바니르",107480,806877000,3
터보,2013-07-25,6278877500,906927,미국,,씨제이이앤엠 주식회사,전체관람가,애니메이션,데이빗 소렌,"라이언 레이놀즈,폴 지아마티,마이클 페나,사무엘 L. 잭슨,루이스 구즈만,스눕 독,미쉘 로드리게즈",1922151,13103450000,2
더 테러 라이브,2013-07-31,16606716717,2319029,한국,(주)씨네이천,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,기타",김병우,"하정우,이경영,전혜진,이다윗",5579036,39834056881,3
개구쟁이 스머프 2,2013-08-01,3752788000,568899,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,"애니메이션,코미디,가족",라자 고스넬,"박명수,닐 패트릭 해리스,크리스티나 리치,알란 커밍,행크 아자리아,케이티 페리,제이마 메이스",919999,5981827500,2
설국열차,2013-08-01,32239676500,4515661,한국,"(주)모호필름,오퍼스픽쳐스(유)",씨제이이앤엠 주식회사,15세이상관람가,"SF,액션",봉준호,"크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,고아성,알리슨 필",9339555,66941268500,3
명탐정 코난 : 수평선상의 음모,2013-08-07,1581092500,250860,일본,,씨제이이앤엠 주식회사,12세이상관람가,애니메이션,야마모토 야스이치로,"타카야마 미나미,야마자키 와카나,카미야 아키라",389873,2465133000,3
에픽 : 숲속의 전설,2013-08-07,3478136000,497666,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,어드벤처",크리스 웻지,"아만다 사이프리드,조쉬 허처슨,콜린 파렐,제이슨 서디키스,비욘세 놀즈,조니 녹스빌,크리스토프 왈츠,스티븐 타일러,한승연,정진운",978788,6748089000,2
감기,2013-08-14,14674389500,2084715,한국,"아이러브시네마,(주)아이필름코퍼레이션,씨제이이앤엠 주식회사",아이러브시네마,15세이상관람가,"드라마,어드벤처,액션",김성수,"장혁,수애,박민하,유해진,마동석,이희준,차인표,박정민",3118801,21782612000,3
