영화명,개봉일,첫주매출액,첫주관객수,대표국적,제작사,배급사,등급,장르,감독,배우,총관객수,총매출액,등급2
파이스토리 : 악당상어 소탕작전,2013-01-10,1295495000,189706,미국,,(주)에스비에스콘텐츠허브,전체관람가,애니메이션,마크 A.Z. 디페,"드레이크 벨,앤디 딕,김병만,남보라,류담",267440,1808263000,2
더 임파서블,2013-01-17,3170490500,443800,스페인,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"액션,드라마,스릴러",후안 안토니오 바요나,"이완 맥그리거,나오미 왓츠",625192,4460167500,3
몬스터 호텔,2013-01-17,3476763500,497550,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,"애니메이션,가족",겐디 타르타코프스키,"아담 샌들러,스티브 부세미,프란 드레셔,앤디 샘버그,정찬우,김태균",884885,6080221500,2
잭 리처,2013-01-17,4314962500,587781,미국,파라마운트 픽쳐스,씨제이이앤엠 주식회사,15세이상관람가,액션,크리스토퍼 맥쿼리,"톰 크루즈,로자문드 파이크,로버트 듀발,베르너 헤어조크,리차드 젠킨스,데이빗 오예로오",784031,5758577000,3
7번방의 선물,2013-01-23,16811391702,2337551,한국,"㈜화인웍스,(주)씨엘엔터테인먼트",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이환경,"류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천",12810776,91429295670,3
뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,3026228000,401213,한국,"(주)오콘,중국오락문화투자유한회사",씨제이이앤엠 주식회사,전체관람가,애니메이션,박영균,"이선,이미자,김환진,함수정,홍소영,조현정,정미숙",930092,6820434500,2
명탐정 코난:은빛 날개의 마술사,2013-01-24,798331000,121743,일본,,씨제이이앤엠 주식회사,전체관람가,애니메이션,야마모토 야스이치로,"김선혜,강수진,이정구",176495,1158761500,2
베를린,2013-01-30,19402927121,2658729,한국,"(주)외유내강,씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,15세이상관람가,액션,류승완,"하정우,한석규,류승범,전지현,이경영,최무성,곽도원,김서형,백승익",7166268,52355408637,3
남쪽으로 튀어,2013-02-06,4571422000,630869,한국,"(주)영화사거미,필름트레인",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"코미디,드라마",임순례,"김윤석,오연수,한예리,백승환,박사랑,김성균",832894,5970851500,3
다이하드: 굿 데이 투 다이,2013-02-06,7542574000,985059,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,범죄,스릴러",존 무어,"브루스 윌리스,제이 코트니,패트릭 스튜어트,메리 엘리자베스 윈스테드,콜 하우저",1437956,10825107000,3
눈의 여왕,2013-02-07,1243344000,182374,러시아,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"블라드 바르베,막심 스베쉬니코브","박보영,이수근,최수민,장광",276911,1846221000,2
